"Reference","Value","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Menge"
"C1","1uF/50V","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","1"
"C2-C5","1uF/50V","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","4"
"C6","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","1"
"C7","33nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","1"
"C8","100pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","1"
"C9-C13","22uF/6.3V","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","5"
"C14-C16, C22, C25, C27, C29, C34","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","8"
"C17-C21, C23, C24, C26, C28, C30","22pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","10"
"D1","SSA33L-E3_61T","Samacsys:DIOM5127X229N","https://www.mouser.de/datasheet/2/427/ssa33l-103313.pdf","SSA33L-E3/61T","https://www.arrow.com/en/products/ssa33l-e361t/vishay?region=nac","Schottky Diodes & Rectifiers","2.29","Vishay","SSA33L-E3/61T","625-SSA33L-E3","https://www.mouser.co.uk/ProductDetail/Vishay-General-Semiconductor/SSA33L-E3-61T?qs=x2jpVgRnAtOQ31b32iy%2Fhw%3D%3D","1"
"D2, D3","LED/GRÜN","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","2"
"D4, D5","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","2"
"F1","Fuse","Resistor_SMD:R_1218_3246Metric_Pad1.22x4.75mm_HandSolder","~","","","","","","","","","1"
"H1-H5","MCP2515-E_ML","Samacsys:QFN50P400X400X90-21N-D","https://componentsearchengine.com/Datasheets/2/MCP2515-E_ML.pdf","MCP2515-E/ML","https://www.arrow.com/en/products/mcp2515-eml/microchip-technology?region=nac","Stand-Alone CAN Controller SPI QFN20 Microchip MCP2515-E/ML, CAN Controller 1MBps CAN 2.0B, 20-Pin QFN","0.9","Microchip","MCP2515-E/ML","579-MCP2515-E/ML","https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/MCP2515-E-ML?qs=98WN%2FnWUQiQyuMapT%2Fw8qw%3D%3D","5"
"H6-H9","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~","","","","","","","","","4"
"IC1","TPS54540DDAR","Samacsys:SOIC127P600X170-9N","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps54540","TPS54540DDAR","https://www.arrow.com/en/products/tps54540ddar/texas-instruments?region=nac","TEXAS INSTRUMENTS - TPS54540DDAR - DC-DC Switching Buck Step Down Regulator, Adjustable, 4.5V-42Vin, 2.5 MHz, 5Aout, HSOIC-8","1.7","Texas Instruments","TPS54540DDAR","595-TPS54540DDAR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS54540DDAR?qs=SmtJf7EgX8R3DJSTgSTesw%3D%3D","1"
"IC2-IC4","TCAN1048AVDMTRQ1","Samacsys:SON65P300X450X100-15N-D","https://www.ti.com/lit/gpn/tcan1048av-q1","TCAN1048AVDMTRQ1","https://www.arrow.com/en/products/tcan1048avdmtrq1/texas-instruments?region=nac","Enhanced Automotive dual CAN transceiver with inverted Standby and 1.8-V I/O Support","1","Texas Instruments","TCAN1048AVDMTRQ1","595-TCAN1048AVDMTRQ1","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TCAN1048AVDMTRQ1?qs=doiCPypUmgHdAQ9GJsHDoQ%3D%3D","3"
"J1","Raspberry_Pi_2_3","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","https://www.raspberrypi.org/documentation/hardware/raspberrypi/schematics/rpi_SCH_3bplus_1p0_reduced.pdf","","","","","","","","","1"
"J2","10090926-P444VLF","Samacsys:10090926P444VLF","http://www.amphenol-icc.com/media/wysiwyg/files/drawing/10090926.pdf","","","D-Sub High Density Connectors 44P MALE R/A PIN UNC 4-40 SCREW LOCKS","12.8","Amphenol Communications Solutions","10090926-P444VLF","649-10090926-P444VLF","https://www.mouser.co.uk/ProductDetail/Amphenol-FCI/10090926-P444VLF?qs=EnLMdcWnKAAL5ctv6%252Byj5Q%3D%3D","1"
"JP1-JP5","Jumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","","","","","","5"
"L1","744771008","Samacsys:WE-PD_1260_1245_1280_121054","","","","SMD-Shielded Power Inductors WE-PD","","Wurth Elektronik","744771008","710-744771008","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/744771008?qs=E%2F%2FhvbtCqpMBmCD5Rj69rg%3D%3D","1"
"R1","100k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","1"
"R2","2.7M","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","1"
"R3","510k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","1"
"R4, R12, R13, R16, R17, R20","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","6"
"R5","2.7k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","1"
"R6","270R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","1"
"R7, R8","510R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","2"
"R14, R15, R18, R19, R22","120R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","","5"
"SW1","SW_DIP_x01","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","~","","","","","","","","","1"
"XTAL1-XTAL5","830026384","Samacsys:SMT_026384_WRE-L","830026384","","","","","","","","","5"
